Document,0,1
0,0.97055,0.02945
1,1.0,0.0
2,0.85764,0.02685
3,1.0,0.0
4,0.86554,0.02866
5,0.85329,0.03727
6,0.02642,0.52276
7,0.01818,0.82089
8,0.01745,0.91435
9,0.0,1.0
10,0.02098,0.94673
11,0.0,1.0
12,0.97174,0.02826
13,0.9268,0.02064
14,0.02238,0.76656
15,0.01884,0.81893
16,1.0,0.0
17,0.79997,0.0481
18,0.01828,0.85878
19,0.98087,0.01913
20,0.98402,0.01598
21,0.02997,0.55144
22,0.88794,0.04288
23,0.02741,0.62596
24,0.02244,0.76954
25,0.98514,0.01486
26,1.0,0.0
27,0.01732,0.95542
28,1.0,0.0
29,0.88023,0.04555
30,0.01855,0.95845
31,0.01821,0.96285
32,0.01672,0.93445
33,0.97916,0.02084
34,1.0,0.0
35,0.03301,0.50985
36,0.93591,0.04212
37,0.0,1.0
38,1.0,0.0
39,1.0,0.0
40,1.0,0.0
41,0.72513,0.03444
42,0.86288,0.03254
43,0.03172,0.60827
44,0.97454,0.02546
45,0.98466,0.01534
46,0.9601,0.03756
47,0.02206,0.91525
48,1.0,0.0
49,0.0,1.0
50,0.97272,0.02728
51,0.0,1.0
52,0.01882,0.89665
53,0.0184,0.93459
54,1.0,0.0
55,1.0,0.0
56,0.01864,0.89031
57,1.0,0.0
58,0.82601,0.03612
59,1.0,0.0
60,0.86408,0.04234
61,0.94263,0.01547
62,1.0,0.0
63,0.97731,0.02269
64,1.0,0.0
65,0.88812,0.0375
66,0.73471,0.03165
67,0.87887,0.0505
68,0.95139,0.04861
69,0.01856,0.83861
70,0.89821,0.03627
71,0.84886,0.04549
72,0.97253,0.02747
73,0.02546,0.51724
74,0.72182,0.03176
75,0.97583,0.02417
76,1.0,0.0
77,0.02269,0.79708
78,0.0,1.0
79,0.94734,0.05266
80,0.01977,0.77907
81,0.01657,0.95121
82,0.98298,0.01702
83,1.0,0.0
84,0.9414,0.02429
85,0.0,1.0
86,0.98673,0.01327
87,1.0,0.0
88,0.98856,0.01144
89,0.98278,0.01722
90,0.03316,0.44603
91,0.01733,0.7019
92,0.97951,0.02049
93,1.0,0.0
94,0.0,1.0
95,0.02085,0.89335
96,0.0,1.0
97,0.0,1.0
98,0.97363,0.02637
99,0.97421,0.02579
