Topic,Words
Topic 136,"caravan: 0.06061, mexico: 0.04817, southern: 0.02475, border: 0.02064, migration: 0.01887, guatemala: 0.01885, illegal: 0.01623, immigration: 0.01561, stop: 0.01543, stem: 0.01524"
Topic 137,"ivanka: 0.28443, daughter: 0.11822, woman: 0.01316, birth: 0.01294, representing: 0.01284, father: 0.0127, ador: 0.01105, backstage: 0.01069, transfer: 0.01069, lara: 0.01069"
Topic 138,"greta: 0.26835, donna: 0.04485, interview: 0.03181, sony: 0.02742, knight: 0.0178, tonight: 0.01726, enjoy: 0.01591, tina: 0.01418, prob: 0.01371, piss: 0.01371"
Topic 139,"mayor: 0.11807, blasio: 0.0708, city: 0.03536, london: 0.03506, worst: 0.01934, nypd: 0.0171, street: 0.01683, police: 0.01678, bloomberg: 0.01646, york: 0.01615"
Topic 140,"puerto: 0.16058, rico: 0.15924, juan: 0.0347, grid: 0.03037, electric: 0.0274, hurricane: 0.02537, island: 0.02204, incompetent: 0.01976, fema: 0.01859, mayor: 0.01347"
Topic 141,"school: 0.1085, children: 0.05321, education: 0.0505, parent: 0.0395, reopening: 0.02305, funding: 0.02273, core: 0.02138, open: 0.02082, reopen: 0.01943, local: 0.0185"
Topic 142,"enjoy: 0.19307, interview: 0.13606, tonight: 0.11981, hilton: 0.05167, steve: 0.03563, laura: 0.02804, tapper: 0.02173, jake: 0.01802, maria: 0.01722, sure: 0.01499"
Topic 143,"iraq: 0.10648, trillion: 0.05084, iraqi: 0.04049, hussein: 0.0248, baghdad: 0.02414, east: 0.02409, middle: 0.02078, waste: 0.01632, baghdadi: 0.0157, falling: 0.01512"
Topic 144,"opec: 0.24635, barrel: 0.07838, crude: 0.0587, price: 0.05585, ripping: 0.0522, saudi: 0.02397, gasoline: 0.02273, artificial: 0.0175, fragile: 0.01707, lower: 0.0164"
Topic 145,"lawyer: 0.10179, client: 0.03534, beck: 0.03123, lawsuit: 0.02663, attorney: 0.01867, existent: 0.01653, legal: 0.01636, embarras: 0.01561, drunk: 0.01561, liability: 0.01352"
Topic 146,"september: 0.04028, year: 0.03122, mark: 0.02657, january: 0.02534, file: 0.02344, annual: 0.02217, august: 0.02094, sheet: 0.01888, contradict: 0.01888, ungrateful: 0.01832"
Topic 147,"dorian: 0.15716, atlantic: 0.1075, hurricane: 0.10113, storm: 0.06674, surge: 0.06431, threatening: 0.05248, category: 0.05122, advisory: 0.04347, tropical: 0.04197, wind: 0.03904"
Topic 148,"sander: 0.17385, bernie: 0.13172, judgement: 0.02777, supporter: 0.0239, delegate: 0.02182, crook: 0.02057, nomination: 0.0195, hillary: 0.01714, crazy: 0.01676, surging: 0.01412"
Topic 149,"mike: 0.14968, michael: 0.09339, mini: 0.06759, finger: 0.04487, tyson: 0.03665, dirty: 0.02864, martin: 0.0263, player: 0.01974, columnist: 0.01832, hamilton: 0.01832"
Topic 150,"vega: 0.22626, hotel: 0.07867, stay: 0.0285, staying: 0.02521, destination: 0.02447, glas: 0.01919, elite: 0.01838, room: 0.01495, golden: 0.0147, tower: 0.01447"
Topic 151,"lobbyist: 0.13475, self: 0.05862, funding: 0.04775, interest: 0.04752, donor: 0.0431, koch: 0.04129, special: 0.03939, puppet: 0.02975, campaign: 0.01962, politician: 0.01897"
Topic 152,"magazine: 0.19809, dying: 0.04153, vanity: 0.04151, rolling: 0.03718, newsweek: 0.03505, stone: 0.0329, fold: 0.02579, circulation: 0.0249, editor: 0.02145, boring: 0.02034"
Topic 153,"vancouver: 0.20213, toronto: 0.13814, canada: 0.05171, canadian: 0.04927, tower: 0.04159, hotel: 0.03768, gonna: 0.02872, skyline: 0.02517, pool: 0.0204, landmark: 0.01716"
Topic 154,"conference: 0.16447, pres: 0.07988, achiever: 0.04856, jose: 0.03549, periscope: 0.02421, philadelphia: 0.02315, four: 0.01782, minute: 0.01685, joint: 0.01532, enjoy: 0.01526"
Topic 155,"america: 0.04146, make: 0.03907, creator: 0.02775, making: 0.01786, silent: 0.01737, tycoon: 0.01694, superpower: 0.01694, northeast: 0.01694, smallbiz: 0.01547, great: 0.01395"
Topic 156,"kimmel: 0.03253, watching: 0.02754, watch: 0.02355, twit: 0.01682, cuff: 0.01682, banner: 0.01626, broadway: 0.01626, minute: 0.01563, escape: 0.01536, tonight: 0.01536"
Topic 157,"charity: 0.09827, fundraiser: 0.07443, fundraising: 0.04829, obama: 0.03383, dime: 0.03211, donat: 0.02803, barack: 0.02514, offer: 0.02216, donor: 0.01988, transparent: 0.01904"
Topic 158,"fracking: 0.17493, energy: 0.04945, pennsylvania: 0.04075, abolish: 0.03168, frack: 0.03071, upstate: 0.02634, biden: 0.02433, harri: 0.02385, mining: 0.0203, natural: 0.01762"
Topic 159,"yvette: 0.06983, comp: 0.06983, trump: 0.05876, jake: 0.05432, tyler: 0.05432, trumper: 0.04652, actor: 0.04156, obvious: 0.04122, steel: 0.03514, creat: 0.02738"
Topic 160,"rove: 0.23045, karl: 0.20809, ashley: 0.07583, judd: 0.07583, loser: 0.02123, waste: 0.01889, spent: 0.01859, dopey: 0.01487, cycle: 0.01476, prediction: 0.01421"
Topic 161,"brady: 0.2366, kraft: 0.1183, quarterback: 0.11375, belichick: 0.09889, coach: 0.05608, patriot: 0.05204, manning: 0.03662, comeback: 0.03639, erin: 0.03296, athlete: 0.02858"
Topic 162,"america: 0.02414, make: 0.01624, nice: 0.014, thanksgiving: 0.01265, example: 0.01226, word: 0.01177, monumental: 0.01129, describing: 0.01129, chill: 0.01099, tireless: 0.01099"
Topic 163,"benghazi: 0.32835, gowdy: 0.03403, consulate: 0.02576, select: 0.02224, attack: 0.02155, scandal: 0.02026, qaeda: 0.01954, cover: 0.01725, terrorist: 0.01675, tape: 0.01479"
Topic 164,"watch: 0.06118, watching: 0.03253, answering: 0.03142, cast: 0.0252, appearance: 0.02345, entertainer: 0.01986, discovery: 0.01729, latest: 0.01703, insightful: 0.01627, initiative: 0.01627"
Topic 165,"iran: 0.07074, kerry: 0.04781, sanction: 0.03959, iranian: 0.03308, nuclear: 0.02751, obama: 0.01943, negotiation: 0.01703, deal: 0.01585, logan: 0.01419, desperate: 0.01318"
Topic 166,"true: 0.19349, sooooo: 0.07448, myth: 0.03943, marco: 0.01851, confirm: 0.01709, http: 0.01595, blue: 0.01563, page: 0.01401, supporter: 0.01091, never: 0.00768"
Topic 167,"hope: 0.10001, wish: 0.03791, dream: 0.02426, tina: 0.01713, predict: 0.01603, equality: 0.01526, admir: 0.0143, president: 0.01403, trace: 0.01403, extra: 0.01378"
Topic 168,"birthday: 0.53721, happy: 0.27815, victoria: 0.03623, chef: 0.03421, mandela: 0.03069, jamie: 0.03014, nelson: 0.02712, barbara: 0.02552, anthony: 0.01874, advice: 0.01524"
Topic 169,"mobile: 0.06079, complaint: 0.05104, call: 0.04684, phone: 0.02932, suck: 0.02927, service: 0.0291, conversation: 0.01966, reminder: 0.01887, shep: 0.01611, allowing: 0.01584"
Topic 170,"interview: 0.09645, perspective: 0.03081, costa: 0.01881, whitmer: 0.01819, softball: 0.01675, carrier: 0.01441, carrying: 0.01419, honest: 0.01384, terrific: 0.01364, horrific: 0.01344"
Topic 171,"signing: 0.10813, gift: 0.0943, copy: 0.08094, streaming: 0.07157, book: 0.0603, holiday: 0.05667, edition: 0.04311, order: 0.03533, donation: 0.0319, sign: 0.03088"
Topic 172,"thank: 0.0214, finder: 0.01976, collin: 0.01772, syndrome: 0.01711, trump: 0.01678, massachusett: 0.01609, soooo: 0.01491, houston: 0.01474, montana: 0.01333, jason: 0.0131"
Topic 173,"video: 0.19274, blog: 0.08393, facebook: 0.04438, answer: 0.03616, question: 0.03571, camera: 0.0345, shoot: 0.03111, scene: 0.02912, photo: 0.02279, spring: 0.01892"
Topic 174,"think: 0.08603, decision: 0.08585, believer: 0.05859, wise: 0.05321, loui: 0.05116, thinking: 0.04757, chance: 0.03743, ingredient: 0.0314, route: 0.02993, anyway: 0.02935"
Topic 175,"alabama: 0.15006, oklahoma: 0.06036, crowd: 0.04726, tulsa: 0.03709, mobile: 0.03142, mississippi: 0.02919, tide: 0.02365, expect: 0.01889, utah: 0.01681, heading: 0.01678"
Topic 176,"partner: 0.06647, media: 0.025, radical: 0.01848, fake: 0.01808, left: 0.01566, opposition: 0.01558, partnership: 0.01336, chart: 0.01204, allie: 0.01187, democrat: 0.01175"
Topic 177,"danny: 0.27857, bryant: 0.12046, gumbel: 0.11206, zuker: 0.10053, racist: 0.04762, prince: 0.04439, dope: 0.03545, wale: 0.02952, arrogant: 0.02679, kick: 0.02294"
Topic 178,"sugar: 0.30956, lord: 0.1985, dopey: 0.06223, alan: 0.04462, peanut: 0.02476, knee: 0.02181, worth: 0.01962, money: 0.0186, unlike: 0.01836, apprentice: 0.01363"
Topic 179,"wallace: 0.25873, chri: 0.15099, interview: 0.0221, depending: 0.02157, sunday: 0.02089, father: 0.01761, mike: 0.01667, declare: 0.01565, enjoy: 0.01474, blew: 0.01325"
Topic 180,"southern: 0.07288, border: 0.05774, wall: 0.04649, fall: 0.01971, progres: 0.01869, build: 0.01731, chapo: 0.01542, crack: 0.01456, license: 0.01456, briefing: 0.01419"
Topic 181,"rating: 0.08209, television: 0.04642, boring: 0.03143, show: 0.02278, talent: 0.02112, demo: 0.02103, dying: 0.02005, rank: 0.01782, espn: 0.01712, hurting: 0.01651"
Topic 182,"ireland: 0.21678, doonbeg: 0.08314, clare: 0.06833, ocean: 0.05733, link: 0.05078, golf: 0.04272, lodge: 0.04247, resort: 0.03996, atlantic: 0.03871, irish: 0.03783"
Topic 183,"schneiderman: 0.27272, eric: 0.12077, lightweight: 0.09887, contribution: 0.0352, suit: 0.03214, unheard: 0.02125, cuomo: 0.02066, attorney: 0.0206, file: 0.02039, hack: 0.01873"
Topic 184,"politician: 0.09961, politic: 0.03782, talk: 0.03282, action: 0.03098, career: 0.02522, analyst: 0.02107, sick: 0.01771, politico: 0.01631, candidate: 0.01493, straw: 0.0138"
Topic 185,"thank: 0.04453, okay: 0.03602, great: 0.03389, exact: 0.03364, couple: 0.0263, roger: 0.02441, absolute: 0.01159, friend: 0.00719, tonight: 0.00477, thing: 0.00464"
Topic 186,"suppression: 0.0485, poll: 0.03832, polling: 0.0337, pollster: 0.02907, fake: 0.02175, inaccurate: 0.01791, sample: 0.01741, phony: 0.01477, despite: 0.01403, internal: 0.01358"
Topic 187,"tonight: 0.10567, tomorrow: 0.04012, monday: 0.0398, wait: 0.03369, telemundo: 0.03157, lineup: 0.03052, favourite: 0.03052, trash: 0.02635, bravo: 0.02635, doubt: 0.0259"
Topic 188,"remark: 0.13682, deliver: 0.09514, whitehouse: 0.0572, live: 0.04643, tree: 0.01921, ceremony: 0.01464, president: 0.01384, pine: 0.01266, enduring: 0.01228, norfolk: 0.01195"
Topic 189,"charity: 0.21276, offer: 0.03358, donate: 0.02739, million: 0.02495, accept: 0.02474, suing: 0.02204, obligation: 0.02117, donor: 0.01722, raising: 0.01695, dodge: 0.01482"
Topic 190,"jordan: 0.2526, teamwork: 0.03841, michael: 0.03563, identity: 0.03457, ranking: 0.03384, watchdog: 0.01986, championship: 0.01953, indication: 0.01921, alongside: 0.01814, mika: 0.01814"
Topic 191,"merry: 0.21004, happy: 0.0682, healthy: 0.03998, wishing: 0.03828, year: 0.03427, life: 0.02237, christ: 0.02143, wish: 0.02033, jesu: 0.01957, humanity: 0.01957"
Topic 192,"defund: 0.20891, police: 0.12775, defunding: 0.08541, abolish: 0.04519, department: 0.0254, radical: 0.02111, pact: 0.02089, crazy: 0.01971, sleepy: 0.01918, biden: 0.01548"
Topic 193,"schumer: 0.12768, chuck: 0.08532, cryin: 0.06198, senator: 0.01997, harry: 0.01562, salt: 0.0145, senate: 0.01386, reid: 0.01229, complaining: 0.01074, obstruct: 0.01003"
Topic 194,"luck: 0.36289, good: 0.08113, evan: 0.0316, brian: 0.03125, afraid: 0.02909, thank: 0.02888, trace: 0.02677, stern: 0.02366, drew: 0.02178, tony: 0.02091"
Topic 195,"georgia: 0.23116, macon: 0.06869, atlanta: 0.04133, soon: 0.01806, memorie: 0.01761, sidney: 0.01717, distinction: 0.01717, lawsuit: 0.01716, fulton: 0.01642, perdue: 0.0161"
Topic 196,"doctor: 0.09315, nurse: 0.08384, surgeon: 0.06865, medical: 0.05641, scientist: 0.04633, walter: 0.03633, physician: 0.03003, studie: 0.02922, jerome: 0.02531, frontline: 0.02134"
Topic 197,"virginia: 0.2189, west: 0.06146, richmond: 0.05178, inch: 0.01726, statewide: 0.0162, jefferson: 0.0162, conservation: 0.0162, norfolk: 0.01576, sponsor: 0.01537, drilling: 0.01502"
Topic 198,"welcome: 0.05121, whitehouse: 0.0453, host: 0.04397, honor: 0.03908, amir: 0.02388, heroic: 0.0224, delight: 0.0218, afternoon: 0.02167, roosevelt: 0.01888, dinner: 0.01586"
Topic 199,"louisiana: 0.13159, edward: 0.07418, runoff: 0.05521, insurance: 0.05285, eddie: 0.04417, governor: 0.04126, kennedy: 0.04033, auto: 0.03038, john: 0.02976, electing: 0.02184"
Topic 200,"whitehouse: 0.09152, instruction: 0.02025, widespread: 0.01823, thunder: 0.01823, greeting: 0.01784, witness: 0.01749, guideline: 0.01749, unveil: 0.01716, sick: 0.01637, heal: 0.0163"
Topic 201,"eastern: 0.1255, interview: 0.09945, tonight: 0.05903, enjoy: 0.04478, superbowl: 0.03565, sunday: 0.03526, buzz: 0.02251, prior: 0.02213, network: 0.02032, jose: 0.02026"
Topic 202,"back: 0.07227, bring: 0.04317, reil: 0.03828, daddy: 0.02993, closet: 0.02993, mommy: 0.02894, rein: 0.02894, chill: 0.02732, half: 0.02638, sometime: 0.02613"
Topic 203,"jury: 0.10774, jodi: 0.07277, justice: 0.07176, miscarriage: 0.06537, ferguson: 0.05689, grand: 0.04268, riot: 0.02871, abortion: 0.02543, principle: 0.02503, outcome: 0.02335"
Topic 204,"bankruptcy: 0.22704, bankrupt: 0.20997, buffett: 0.1271, icahn: 0.11361, went: 0.08625, zell: 0.07845, caesar: 0.04868, dealmaker: 0.04237, tool: 0.03685, warren: 0.03682"
Topic 205,"paycheck: 0.08621, program: 0.06244, protection: 0.05639, loan: 0.03841, bill: 0.03705, funding: 0.03675, sick: 0.02927, relief: 0.02922, small: 0.0277, smallbiz: 0.02281"
Topic 206,"promise: 0.07129, give: 0.0683, none: 0.06666, kept: 0.03841, grew: 0.03457, agree: 0.02962, empty: 0.02875, disagree: 0.02838, gotta: 0.02838, nail: 0.02769"
Topic 207,"drudge: 0.32581, report: 0.07777, pact: 0.02885, blast: 0.02258, megyn: 0.02258, dropping: 0.02186, radio: 0.01942, owning: 0.01658, jihadist: 0.01658, foil: 0.01658"
Topic 208,"fake: 0.08127, classic: 0.03414, provider: 0.02478, faker: 0.02478, persona: 0.02396, footage: 0.02156, promoting: 0.0211, mcmaster: 0.01898, carrying: 0.01869, demean: 0.01817"
Topic 209,"oscar: 0.34672, academy: 0.06698, suck: 0.03362, award: 0.03099, moron: 0.03061, girlfriend: 0.0288, production: 0.02185, boring: 0.02152, guilty: 0.02086, judge: 0.01936"
Topic 210,"putin: 0.21351, vladimir: 0.06412, strength: 0.02276, russia: 0.02021, nuclear: 0.01914, scar: 0.01782, match: 0.01596, terror: 0.01377, belt: 0.01351, regional: 0.01351"
Topic 211,"briefing: 0.25895, task: 0.21852, force: 0.11483, pres: 0.1146, live: 0.06879, whitehouse: 0.06691, participate: 0.03214, southcom: 0.01521, mick: 0.01436, yale: 0.01313"
Topic 212,"summit: 0.09313, dinner: 0.05442, keynote: 0.0508, lincoln: 0.04382, freedom: 0.03145, speech: 0.02716, speaking: 0.02509, county: 0.02382, crowd: 0.02215, saturday: 0.02205"
Topic 213,"vote: 0.05142, smuggler: 0.02339, closet: 0.02339, nichola: 0.02339, hogan: 0.02339, resume: 0.02195, steph: 0.02036, changer: 0.01916, someone: 0.01861, reid: 0.01765"
Topic 214,"support: 0.02955, hickenlooper: 0.0276, hubby: 0.02668, lara: 0.02668, stating: 0.0252, agreeing: 0.0235, minor: 0.0235, thereby: 0.0235, thank: 0.02265, nrsc: 0.0226"
Topic 215,"truth: 0.15256, common: 0.06829, speak: 0.05263, sense: 0.05174, nature: 0.04146, hear: 0.0337, telling: 0.03077, lying: 0.02901, spouse: 0.02251, arsenio: 0.02251"
Topic 216,"buffalo: 0.2289, johnny: 0.09001, owner: 0.05908, bill: 0.04468, cash: 0.04395, franchise: 0.04368, steve: 0.0368, team: 0.03253, damn: 0.03002, buying: 0.02499"
Topic 217,"negotiation: 0.21563, persuasion: 0.09233, flexible: 0.05373, treat: 0.04639, side: 0.03716, exact: 0.03519, entrepreneur: 0.03121, horizon: 0.03078, persistence: 0.02921, conflict: 0.02905"
Topic 218,"russia: 0.04052, hoax: 0.02995, russian: 0.02598, mainstream: 0.02426, narrative: 0.01841, fake: 0.0167, tale: 0.01536, collusion: 0.01473, media: 0.01447, story: 0.01404"
Topic 219,"hard: 0.09542, work: 0.08208, luckier: 0.05132, harder: 0.04268, random: 0.02717, arsenio: 0.02717, smash: 0.02503, texan: 0.02503, overnight: 0.02503, toughest: 0.02446"
Topic 220,"keystone: 0.28771, pipeline: 0.2244, approve: 0.07051, canada: 0.05192, reject: 0.02566, sell: 0.02522, create: 0.0231, gallon: 0.0214, barrel: 0.02046, price: 0.01925"
Topic 221,"kavanaugh: 0.20508, brett: 0.1098, confirmation: 0.05385, judge: 0.03466, justice: 0.03256, influence: 0.03199, supreme: 0.02768, accusation: 0.02343, accuser: 0.01913, court: 0.01849"
Topic 222,"wrestlemania: 0.28753, vince: 0.19174, mcmahon: 0.10842, induct: 0.05412, fame: 0.04571, hall: 0.03567, epic: 0.0337, sport: 0.01865, greatest: 0.01839, host: 0.01747"
Topic 223,"turnberry: 0.21979, scotland: 0.09496, resort: 0.08478, legendary: 0.03966, purchase: 0.02923, aberdeen: 0.02799, british: 0.0266, taste: 0.02003, ireland: 0.01877, organization: 0.01735"
Topic 224,"boom: 0.03848, melissa: 0.03364, president: 0.03289, roast: 0.03072, thank: 0.0276, trophy: 0.02755, dont: 0.02291, begging: 0.02195, allegation: 0.02152, destruction: 0.01881"
Topic 225,"japan: 0.15027, prime: 0.09346, minister: 0.08958, emperor: 0.05109, japanese: 0.0364, majesty: 0.02044, ernie: 0.01918, olympic: 0.01872, honoring: 0.0146, venue: 0.0146"
Topic 226,"indiana: 0.27461, carrier: 0.0661, fort: 0.03798, wayne: 0.03249, bluff: 0.03152, bend: 0.03004, allen: 0.0294, tomorrow: 0.02194, everyone: 0.01937, staying: 0.01931"
Topic 227,"egypt: 0.22206, brotherhood: 0.16832, muslim: 0.13574, mubarak: 0.07958, islamist: 0.04108, arab: 0.03831, abandon: 0.03091, spring: 0.0304, sudan: 0.02469, allie: 0.02243"
Topic 228,"model: 0.34501, role: 0.32443, terrific: 0.02845, intelligent: 0.02702, inspiration: 0.02697, haley: 0.01961, personality: 0.01896, definite: 0.01855, follow: 0.01717, launching: 0.01707"
Topic 229,"radical: 0.06124, left: 0.04539, sleepy: 0.02474, resist: 0.01806, complain: 0.01564, founder: 0.01485, bernie: 0.01427, democrat: 0.01327, assault: 0.01308, marcu: 0.01161"
Topic 230,"vote: 0.07084, sitting: 0.04045, gary: 0.03774, waste: 0.03582, johnson: 0.03324, clean: 0.0291, president: 0.02896, jodi: 0.0287, rocky: 0.0287, casting: 0.02745"
Topic 231,"liberty: 0.10095, university: 0.09909, commencement: 0.07995, speech: 0.05111, jerry: 0.04039, academy: 0.03249, school: 0.02758, graduation: 0.02665, review: 0.02234, ovation: 0.02166"
Topic 232,"mini: 0.1254, bloomberg: 0.10091, mike: 0.05404, performance: 0.03343, steyer: 0.02419, debate: 0.0234, boxe: 0.01892, stage: 0.01349, bernie: 0.01336, brien: 0.01261"
Topic 233,"pastor: 0.12678, church: 0.09299, worship: 0.02266, prayer: 0.02258, threw: 0.02218, melania: 0.02166, salon: 0.02132, bible: 0.02132, heartfelt: 0.02132, jail: 0.0204"
Topic 234,"nice: 0.27936, damn: 0.1205, thank: 0.0404, quite: 0.03633, shame: 0.03479, wonderful: 0.0222, seem: 0.0206, wish: 0.02024, good: 0.00775, true: 0.00633"
Topic 235,"libya: 0.31794, libyan: 0.08124, embassy: 0.07294, qaeda: 0.06526, rebel: 0.03721, benghazi: 0.0344, ambassador: 0.03331, bump: 0.02685, revolution: 0.02576, attack: 0.02519"
Topic 236,"riot: 0.08329, peaceful: 0.06223, looting: 0.05447, protest: 0.05411, protester: 0.04564, anarchist: 0.0427, rioting: 0.03432, protestor: 0.0313, rioter: 0.02784, violent: 0.02161"
Topic 237,"levin: 0.29151, mark: 0.11905, henry: 0.10155, liberty: 0.05298, eastern: 0.03276, shred: 0.02917, preach: 0.0282, famer: 0.0282, amen: 0.02169, plain: 0.01848"
Topic 238,"love: 0.10537, manti: 0.03973, personality: 0.03841, crack: 0.03628, bull: 0.03254, genuine: 0.03196, refreshing: 0.03142, drama: 0.03091, rough: 0.03043, reason: 0.02704"
Topic 239,"watching: 0.14712, watch: 0.07103, fell: 0.05306, vine: 0.04088, nite: 0.03601, compare: 0.03601, alternative: 0.0288, developing: 0.02848, complain: 0.02848, recommend: 0.02653"
Topic 240,"debate: 0.13715, imperative: 0.02262, vetting: 0.02262, conclude: 0.02262, deplorable: 0.02156, preparation: 0.01993, depart: 0.01959, survey: 0.01928, dean: 0.01928, principle: 0.01898"
Topic 241,"fame: 0.22556, hall: 0.22164, baseball: 0.11073, pete: 0.10512, induct: 0.0989, famer: 0.07683, rose: 0.07331, paid: 0.03188, penalty: 0.02814, league: 0.02506"
Topic 242,"portland: 0.17778, wheeler: 0.1128, mayor: 0.07122, agitator: 0.038, oregon: 0.03495, anarchist: 0.03424, courthouse: 0.02978, guard: 0.02881, federal: 0.02797, violent: 0.0231"
Topic 243,"editorial: 0.07128, report: 0.05486, article: 0.04567, fallout: 0.04431, reporting: 0.02931, data: 0.02329, info: 0.02142, damaging: 0.02079, torture: 0.02023, savage: 0.01973"
Topic 244,"churchill: 0.36706, winston: 0.34808, fatal: 0.10401, courage: 0.06932, stood: 0.06495, sometime: 0.05417, count: 0.05392, failure: 0.05372, attitude: 0.03337, mean: 0.02915"
Topic 245,"approval: 0.19658, rating: 0.11096, party: 0.10045, republican: 0.05478, handling: 0.02291, swing: 0.021, happier: 0.01824, exhaust: 0.0171, leading: 0.01496, thank: 0.01465"
Topic 246,"star: 0.15631, season: 0.08562, upcoming: 0.08065, return: 0.07653, popular: 0.0599, demand: 0.04594, feature: 0.04091, competitor: 0.0338, fierce: 0.0334, competing: 0.03183"
Topic 247,"kasich: 0.23923, john: 0.04824, negative: 0.03136, lyin: 0.0301, cruz: 0.02528, managing: 0.02438, drop: 0.01948, crash: 0.01589, wasting: 0.01505, race: 0.0149"
Topic 248,"media: 0.07136, silence: 0.03175, reporting: 0.02286, bashing: 0.02228, coverup: 0.02228, controversy: 0.02228, beyond: 0.02102, lazy: 0.02052, suggestion: 0.02005, raid: 0.01963"
Topic 249,"border: 0.03497, secure: 0.02827, strengthen: 0.02157, security: 0.02093, patrol: 0.02064, obsolete: 0.01802, destin: 0.01802, physical: 0.01802, council: 0.01691, judd: 0.01605"
Topic 250,"tune: 0.35939, monday: 0.11859, sure: 0.04058, sunday: 0.038, episode: 0.0366, blockbuster: 0.03135, download: 0.03135, listening: 0.03083, hosting: 0.03048, tomorrow: 0.02989"
Topic 251,"join: 0.07353, tomorrow: 0.04016, syracuse: 0.03889, ticket: 0.03768, kansa: 0.03627, crowd: 0.02726, featuring: 0.02679, california: 0.0227, dalla: 0.02071, biker: 0.01945"
Topic 252,"stewart: 0.26656, joke: 0.04526, smith: 0.0418, writer: 0.03949, hater: 0.03535, sheila: 0.03452, wiseguy: 0.03452, fading: 0.03452, humor: 0.03239, comedian: 0.0294"
Topic 253,"tennessee: 0.30726, nashville: 0.17729, valley: 0.03196, landing: 0.02405, authority: 0.02365, bles: 0.02146, franklin: 0.02075, expect: 0.02027, crowd: 0.01989, install: 0.01864"
Topic 254,"israel: 0.15703, palestinian: 0.0286, israeli: 0.02709, height: 0.02709, peace: 0.02434, netanyahu: 0.02093, loud: 0.0193, regional: 0.01713, peril: 0.01657, steady: 0.01657"
Topic 255,"snowden: 0.32256, traitor: 0.14573, edward: 0.06256, moscow: 0.04296, asylum: 0.0329, russia: 0.03008, attending: 0.02448, grant: 0.024, damage: 0.02311, pageant: 0.02263"
Topic 256,"truth: 0.07792, speak: 0.04559, sound: 0.02802, speaking: 0.02469, corsi: 0.01754, vermont: 0.01754, behalf: 0.01725, walk: 0.01725, dunn: 0.01702, district: 0.01599"
Topic 257,"oval: 0.23766, office: 0.08825, meeting: 0.02643, switch: 0.02494, sitting: 0.02044, mystery: 0.01528, swearing: 0.01487, podium: 0.01487, eastern: 0.01463, signing: 0.01429"
Topic 258,"elizabeth: 0.2097, warren: 0.1891, goofy: 0.1753, native: 0.10017, heritage: 0.04272, indian: 0.03755, sometime: 0.03746, senator: 0.02313, dress: 0.02238, productive: 0.02226"
Topic 259,"miller: 0.23617, song: 0.15559, mary: 0.10549, macleod: 0.0935, trust: 0.04942, mother: 0.04861, advice: 0.03255, forever: 0.03027, score: 0.0218, seldom: 0.02156"
Topic 260,"bolton: 0.23137, john: 0.05327, wacko: 0.03339, complain: 0.02299, lowlife: 0.02274, dumbest: 0.01983, broke: 0.01806, information: 0.01687, nonsense: 0.01428, pleasure: 0.01355"
Topic 261,"virginia: 0.10916, gillespie: 0.05601, ralph: 0.04212, amendment: 0.02897, commonwealth: 0.02881, abortion: 0.02786, governor: 0.02314, straighten: 0.01956, siege: 0.01858, away: 0.01622"
Topic 262,"cpac: 0.30621, speech: 0.04448, speaking: 0.04108, morning: 0.02082, reporter: 0.02074, attendee: 0.02012, audio: 0.02012, intro: 0.01946, loose: 0.01888, podium: 0.01838"
Topic 263,"spying: 0.1179, surveillance: 0.08385, spygate: 0.04827, misconduct: 0.03664, intelligence: 0.02815, coup: 0.02661, scandal: 0.02468, unmasking: 0.0202, update: 0.01725, appear: 0.0152"
Topic 264,"show: 0.06233, love: 0.05174, favorite: 0.03798, cast: 0.03609, loving: 0.03254, greet: 0.02598, smash: 0.02534, reality: 0.02428, casting: 0.02423, nite: 0.02423"
Topic 265,"passion: 0.21052, passionate: 0.14415, samuel: 0.04041, enthusiastic: 0.03159, find: 0.03025, love: 0.02937, motivation: 0.02782, work: 0.0259, successful: 0.02198, fear: 0.02168"
Topic 266,"rasmussen: 0.26536, approval: 0.07805, higher: 0.04456, poll: 0.0354, rating: 0.03242, accurate: 0.02843, intense: 0.02157, black: 0.01775, jump: 0.01774, party: 0.01565"
Topic 267,"respect: 0.1328, respectful: 0.03522, speak: 0.02477, respecting: 0.02464, share: 0.02451, utmost: 0.02383, liking: 0.02383, mister: 0.02312, self: 0.02226, bucket: 0.02145"
Topic 268,"nypd: 0.12996, frisk: 0.06749, police: 0.03757, officer: 0.03729, shooting: 0.02837, commissioner: 0.02723, chicago: 0.0269, looter: 0.01707, shot: 0.0152, finest: 0.01399"
Topic 269,"birthday: 0.27662, happy: 0.14322, uscg: 0.06501, guard: 0.02487, palmer: 0.02419, bravery: 0.02298, dedication: 0.02229, arnold: 0.02167, baby: 0.01928, mission: 0.01804"
Topic 270,"hold: 0.23294, conference: 0.17738, live: 0.084, whitehouse: 0.07923, chairwoman: 0.02154, mcdaniel: 0.02082, kayleigh: 0.01966, president: 0.01878, pres: 0.01518, remind: 0.01282"
Topic 271,"forest: 0.0619, california: 0.05565, management: 0.03989, fire: 0.03369, pacific: 0.03207, ocean: 0.0286, wildfire: 0.02766, governor: 0.02426, federal: 0.02381, proper: 0.02335"
